artist_id,similar_artists_id
4623000,"['6286764', '5546028', '4774224', '5097198', '160970', '5054100', '208167', '6502292', '3753800', '755171', '717399', '6222019', '9617142', '4369549', '4370377', '6407566', '643850', '2701786', '4952161', '3694187', '3313381', '428038', '4652316', '1028382', '218099', '7723814', '8739954', '795224', '3183564', '15520884', '4027035', '6914440', '232871', '722467', '1532331', '8553938', '41166', '4841426', '41126', '3246342', '105648', '4029507', '6104515', '5349983', '36791', '792433', '2686162']"
5054100,"['4029507', '6721519', '5399221', '4572203', '4774224', '3435922', '6407566', '5373532', '8451432', '7693553', '6502292', '6177002', '5140978', '6371054', '232871', '2419090', '3753800', '161544', '161973', '5913514', '2701786', '3315646', '8553938', '428038', '5313769', '5546028', '2686162', '762002', '6269258', '6222019', '5811881', '49522', '1028382', '4623000', '160530', '3292784', '3801185', '4652316', '6373919', '4525928', '208167', '4669403', '9679898', '9617142', '9588923', '4998322', '1988619', '7310720']"
5097198,"['6222019', '10848257', '5349983', '1532779', '7723814', '7423616', '1532331', '11161384', '4027035', '13002', '232871', '4623000', '2701786', '6914440', '8739954', '4370377', '5040985', '6286764', '5599442', '6104515', '6606456', '10878798', '3753800', '3386706', '4652316', '432938', '5054100', '3706671', '202158', '6753742', '4439056', '5457159', '160530', '6179198', '6033906', '63128', '5053856', '18642', '1404', '8095900', '3315646', '5430946', '5546028', '5652191', '9617142', '3435922', '41098', '6963944', '4774224']"
6286764,"['5546028', '4623000', '9617142', '3753800', '4774224', '6502292', '11161384', '8553938', '5097198', '5349983', '8739954', '6222019', '7723814', '6826935', '6407566', '6019372', '5053856', '6928538', '9588923', '2686162', '428038', '6599738', '5054100', '6914440', '9352087', '717399', '4029507', '4652316', '8095900', '4952161', '795224', '15520884', '5811881', '5399221', '4622988', '4370377', '5313769', '3246342', '10848257', '6104515', '4439056', '1532779', '1280361', '7693553', '7072757', '2428208', '7714432', '4164896']"
11161384,"['5349983', '3315646', '11236916', '6222019', '8189731', '5097198', '5271861', '6286764', '3145037', '10848257', '9588066', '4652316', '3749834', '6907498', '7723814', '12187976', '15286677', '8739954', '188209', '7796783', '4077045', '7693553', '2701786', '63128', '188970', '7072757', '3753800', '5313769', '5429719', '6502292', '7034154', '202158', '6125317', '8451432', '1242711', '4683503', '5926594', '1532331', '5763226', '160514', '5457159', '232871', '41133', '595142', '15520884', '8920190', '1802873', '7174914']"
8451432,"['7693553', '4029507', '6721519', '5399221', '5373532', '4572203', '3292784', '3435922', '6269258', '7018554', '6371054', '5913514', '5054100', '6177002', '4774224', '9679898', '7310720', '2686162', '4998322', '8189731', '1590458', '8553938', '161973', '3801185', '1988619', '5140978', '4669403', '9617142', '6407566', '5393321', '457401', '10792459', '5244674', '5313769', '2419090', '8420850', '161544', '5811881', '232871', '6410084', '3730431', '6487554', '1028382', '6222019', '3753800', '6167730', '9127019', '8491263', '2701786']"
5349983,"['11161384', '6222019', '5097198', '3315646', '10848257', '7723814', '232871', '8189731', '1532331', '3706671', '5457159', '15520884', '218099', '5763226', '4652316', '1802873', '1532779', '4027035', '8095900', '2701786', '1242711', '338745', '7423616', '6928538', '5546028', '5313769', '41133', '7693553', '3435922', '6286764', '161243', '11236916', '907548', '6753742', '5652191', '643850', '5271861', '428038', '8739954', '156427', '41128', '188970', '5952', '219036', '4110067', '188209', '63128']"
7693553,"['8451432', '4029507', '5399221', '6721519', '3435922', '5373532', '5913514', '4572203', '6371054', '3292784', '4774224', '2686162', '7018554', '6269258', '5054100', '8189731', '5140978', '1988619', '6177002', '8553938', '9679898', '7310720', '4669403', '3801185', '4998322', '161973', '15520884', '6410084', '1590458', '9617142', '457401', '6407566', '2419090', '4147915', '8420850', '3749834', '6222019', '10792459', '5313769', '3753800', '161544', '5811881', '3730431', '6167730', '2701786', '7439644', '1028382', '5393321', '5546028']"
4029507,"['4572203', '6721519', '5054100', '6177002', '5399221', '5373532', '8451432', '4774224', '7693553', '161544', '3435922', '161973', '5140978', '5913514', '6269258', '3292784', '9679898', '3753800', '49522', '2419090', '1988619', '7310720', '6407566', '6373919', '8553938', '232871', '6371054', '2686162', '5393321', '6410084', '5811881', '6502292', '9588923', '9617142', '140285', '5313769', '4525928', '4998322', '129413', '4669403', '5824240', '1028382', '7714432', '853465', '8491263', '3801185', '5244674', '6004276']"
4774224,"['2686162', '4572203', '4029507', '3435922', '5399221', '5054100', '6721519', '3753800', '5546028', '8553938', '9617142', '6407566', '7693553', '5373532', '6177002', '8451432', '4370377', '5913514', '232871', '49522', '6502292', '6222019', '4525928', '5140978', '6410084', '6004276', '4998322', '5313769', '5811881', '6269258', '4952161', '161973', '6371054', '795224', '3292784', '4623000', '6928538', '2701786', '6373919', '9679898', '6286764', '3095130', '161544', '2419090', '7048612', '15520884', '1028382', '6914440']"
